vaccinated,pox_status,pox_aware,alive,race,age_bucket,new_state,new_prob
0,0,0,1,0,1,1,0.001
0,0,0,1,0,2,1,0.0019
0,0,0,1,0,3,1,0.001
0,0,0,1,0,4,1,0.001
0,0,0,1,0,5,1,0.001
0,0,0,1,1,1,1,0.00065
0,0,0,1,1,2,1,0.001235
0,0,0,1,1,3,1,0.00065
0,0,0,1,1,4,1,0.00065
0,0,0,1,1,5,1,0.00065
0,0,0,1,2,1,1,0.0015
0,0,0,1,2,2,1,0.00285
0,0,0,1,2,3,1,0.0015
0,0,0,1,2,4,1,0.0015
0,0,0,1,2,5,1,0.0015
0,1,0,1,0,1,1,0.001
0,1,0,1,0,2,1,0.0019
0,1,0,1,0,3,1,0.001
0,1,0,1,0,4,1,0.001
0,1,0,1,0,5,1,0.001
0,1,0,1,1,1,1,0.00065
0,1,0,1,1,2,1,0.001235
0,1,0,1,1,3,1,0.00065
0,1,0,1,1,4,1,0.00065
0,1,0,1,1,5,1,0.00065
0,1,0,1,2,1,1,0.0015
0,1,0,1,2,2,1,0.00285
0,1,0,1,2,3,1,0.0015
0,1,0,1,2,4,1,0.0015
0,1,0,1,2,5,1,0.0015
0,1,1,1,0,1,1,0.95
0,1,1,1,0,2,1,0.95
0,1,1,1,0,3,1,0.95
0,1,1,1,0,4,1,0.95
0,1,1,1,0,5,1,0.95
0,1,1,1,1,1,1,0.95
0,1,1,1,1,2,1,0.95
0,1,1,1,1,3,1,0.95
0,1,1,1,1,4,1,0.95
0,1,1,1,1,5,1,0.95
0,1,1,1,2,1,1,0.95
0,1,1,1,2,2,1,0.95
0,1,1,1,2,3,1,0.95
0,1,1,1,2,4,1,0.95
0,1,1,1,2,5,1,0.95